1 1:2 2:0.94741 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.8174 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.947217 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.8318 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.946878 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.8868 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.946674 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.9594 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.946412 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.9553 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.946351 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.9664 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.946299 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.9458 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.945998 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.8727 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.945782 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.5957 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.945652 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.4194 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.945621 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.424 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.945352 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.4248 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.944752 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.4613 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.943853 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.5331 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.942756 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.5999 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.941619 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.6875 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.940677 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.8455 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.939795 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:42.0514 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.939378 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:42.156 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.939505 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:42.4062 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.939749 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:42.5408 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.940071 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:42.6782 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.940551 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:42.8885 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.940893 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:43.145 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.941571 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:43.3387 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.942354 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:43.5273 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.943069 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:43.7149 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.943427 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:43.9517 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.944035 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:44.1943 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.944471 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:44.368 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.944916 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:44.5046 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.945612 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:44.4765 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.946251 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:44.5363 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.947249 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:44.5943 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.948692 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:44.9592 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950481 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:45.4937 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.952005 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:46.1268 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.95286 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:46.3712 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.953014 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:46.0213 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.953158 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:45.7088 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.953189 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:45.5484 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.952952 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:45.5524 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.952788 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:45.5372 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.952415 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:45.4453 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.952231 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:45.3788 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
